poi_id,eff_time,lat,lon,times
1,1678,40.843,-73.74412,Jan 17 21:58:21 +0000 2013
2,2154,40.74838,-74.00694,Jan 17 12:47:22 +0000 2013
3,1479,40.73345,-73.97381,Jan 17 18:59:32 +0000 2013
4,1677,40.58419,-73.97435,Jan 17 18:04:53 +0000 2013
5,1980,40.76472,-73.99794,Jan 17 03:05:36 +0000 2013
6,2607,40.76148,-73.97401,Jan 17 20:05:21 +0000 2013
7,2175,40.74479,-73.998,Jan 17 23:48:59 +0000 2013
8,2207,40.72953,-73.9301,Jan 17 15:44:20 +0000 2013
9,1970,40.76616,-73.96873,Jan 17 17:58:04 +0000 2013
10,2648,40.73958,-74.03572,Jan 17 00:58:31 +0000 2013
11,797,40.82392,-73.93906,Jan 17 04:29:40 +0000 2013
12,611,40.69976,-73.99821,Jan 17 23:45:22 +0000 2013
13,2084,40.75358,-74.00177,Jan 17 13:16:35 +0000 2013
14,2325,40.75262,-74.00452,Jan 17 17:41:42 +0000 2013
15,1950,40.76163,-73.95586,Jan 17 17:28:08 +0000 2013
16,1632,40.7473,-73.81209,Jan 17 06:15:54 +0000 2013
17,1761,40.75148,-74.0062,Jan 17 18:01:47 +0000 2013
18,2634,40.75955,-74.00415,Jan 17 23:44:30 +0000 2013
19,1708,40.83115,-73.90834,Jan 17 04:18:11 +0000 2013
20,2647,40.72809,-74.00154,Jan 17 12:10:33 +0000 2013
21,2015,40.66076,-73.93653,Jan 17 01:36:02 +0000 2013
22,2085,40.69943,-73.87745,Jan 17 02:23:47 +0000 2013
23,1043,40.67508,-73.86556,Jan 17 10:04:53 +0000 2013
24,1856,40.90883,-73.9025,Jan 17 05:13:48 +0000 2013
25,2058,40.74688,-73.70418,Jan 17 15:01:23 +0000 2013
26,1333,40.71822,-73.97715,Jan 17 03:51:30 +0000 2013
27,717,40.74107,-73.99252,Jan 17 21:25:03 +0000 2013
28,2489,40.75794,-73.98775,Jan 17 23:35:56 +0000 2013
29,1049,40.72753,-73.88147,Jan 17 18:27:07 +0000 2013
30,1102,40.74375,-73.9977,Jan 17 23:02:18 +0000 2013
31,1900,40.72115,-73.94961,Jan 17 12:38:52 +0000 2013
32,1418,40.86883,-73.94653,Jan 17 15:27:27 +0000 2013
33,1177,40.75299,-73.98966,Jan 17 15:50:23 +0000 2013
34,1231,40.73695,-73.99178,Jan 17 23:38:58 +0000 2013
35,2672,40.74397,-74.01319,Jan 17 22:51:11 +0000 2013
36,2392,40.7154,-73.94516,Jan 17 18:46:04 +0000 2013
37,1509,40.77057,-73.96457,Jan 17 20:22:31 +0000 2013
38,2131,40.74977,-73.8769,Jan 17 11:55:20 +0000 2013
39,2066,40.8933,-73.97303,Jan 17 14:47:42 +0000 2013
40,1220,40.66327,-73.9301,Jan 17 03:33:26 +0000 2013
41,1353,40.87862,-73.88801,Jan 17 00:21:37 +0000 2013
42,833,40.60726,-73.98634,Jan 17 09:20:49 +0000 2013
43,2488,40.7977,-73.95673,Jan 17 13:32:00 +0000 2013
44,2180,40.96573,-74.06803,Jan 17 00:58:19 +0000 2013
45,1599,40.83486,-73.94813,Jan 17 11:40:30 +0000 2013
46,934,40.727,-74.05353,Jan 17 12:53:20 +0000 2013
47,844,40.80512,-74.20394,Jan 17 23:11:26 +0000 2013
48,1526,40.76113,-73.87503,Jan 17 13:37:27 +0000 2013
49,793,40.85611,-73.91462,Jan 17 15:28:03 +0000 2013
50,825,40.76554,-73.72466,Jan 17 22:30:57 +0000 2013
