poi_id,eff_time,lat,lon,times
1,1994,40.92716,-74.17811,Jan 17 13:47:58 +0000 2013
2,2490,40.65561,-74.01092,Jan 17 05:17:18 +0000 2013
3,1185,40.72194,-74.00487,Jan 17 17:50:28 +0000 2013
4,2545,40.77201,-73.96632,Jan 17 13:42:20 +0000 2013
5,2386,40.67553,-74.08085,Jan 17 18:40:05 +0000 2013
6,690,40.73933,-73.99009,Jan 17 16:24:35 +0000 2013
7,923,40.70905,-73.99884,Jan 17 23:30:38 +0000 2013
8,717,40.76015,-73.99068,Jan 17 21:25:03 +0000 2013
9,1913,40.85406,-73.79297,Jan 17 18:14:55 +0000 2013
10,2424,40.74175,-73.99393,Jan 17 17:46:49 +0000 2013
11,2273,40.79832,-73.96751,Jan 17 17:00:15 +0000 2013
12,1074,40.72174,-74.01004,Jan 17 14:40:30 +0000 2013
13,2413,40.66313,-73.73259,Jan 17 19:03:35 +0000 2013
14,1001,40.7393,-73.99431,Jan 17 22:21:00 +0000 2013
15,1176,40.88629,-73.8753,Jan 17 13:35:56 +0000 2013
16,1797,40.74844,-73.98653,Jan 17 21:01:24 +0000 2013
17,2168,40.70764,-74.00972,Jan 17 20:15:48 +0000 2013
18,1001,40.8247,-73.94549,Jan 17 12:55:18 +0000 2013
19,1414,40.65396,-73.90161,Jan 17 23:02:46 +0000 2013
20,1086,40.85099,-74.17796,Jan 17 05:25:27 +0000 2013
21,2201,40.9114,-74.16329,Jan 17 10:30:26 +0000 2013
22,2534,40.75389,-73.94543,Jan 17 14:46:14 +0000 2013
23,987,40.86276,-73.91627,Jan 17 15:27:52 +0000 2013
24,2154,40.75805,-74.00108,Jan 17 12:47:22 +0000 2013
25,2469,40.70799,-74.02719,Jan 17 13:17:43 +0000 2013
26,931,40.73649,-73.97454,Jan 17 00:20:09 +0000 2013
27,2273,40.75897,-73.94305,Jan 17 03:53:10 +0000 2013
28,2089,40.83958,-73.92284,Jan 17 22:00:22 +0000 2013
29,1487,40.74624,-74.00232,Jan 17 18:20:56 +0000 2013
30,1760,40.71047,-74.03754,Jan 17 00:45:14 +0000 2013
31,1150,40.73413,-73.96834,Jan 17 19:00:26 +0000 2013
32,1880,40.8542,-73.94993,Jan 17 19:10:40 +0000 2013
33,1469,40.75491,-73.9842,Jan 17 18:00:22 +0000 2013
34,1202,40.80785,-73.94811,Jan 17 15:23:57 +0000 2013
35,928,40.72796,-74.00211,Jan 17 14:24:56 +0000 2013
36,2058,40.75879,-73.78063,Jan 17 15:01:23 +0000 2013
37,1744,40.73463,-73.99581,Jan 17 23:57:56 +0000 2013
38,1014,40.8149,-74.10432,Jan 17 00:49:09 +0000 2013
39,1032,40.74261,-73.95924,Jan 17 14:59:01 +0000 2013
40,611,40.68989,-73.97008,Jan 17 23:45:22 +0000 2013
