poi_id,eff_time,lat,lon,times
1,1994,40.9146,-74.20264,Jan 17 13:47:58 +0000 2013
2,2490,40.63528,-74.03875,Jan 17 05:17:18 +0000 2013
3,1185,40.71332,-73.98529,Jan 17 17:50:28 +0000 2013
4,2545,40.76253,-73.96972,Jan 17 13:42:20 +0000 2013
5,2386,40.69549,-74.10742,Jan 17 18:40:05 +0000 2013
6,690,40.72093,-73.99492,Jan 17 16:24:35 +0000 2013
7,923,40.74583,-74.00578,Jan 17 23:30:38 +0000 2013
8,717,40.75581,-74.00291,Jan 17 21:25:03 +0000 2013
9,1913,40.83128,-73.80112,Jan 17 18:14:55 +0000 2013
10,2424,40.7616,-73.98461,Jan 17 17:46:49 +0000 2013
11,2273,40.75661,-73.94558,Jan 17 17:00:15 +0000 2013
12,1074,40.72366,-73.99151,Jan 17 14:40:30 +0000 2013
13,2413,40.67216,-73.73792,Jan 17 19:03:35 +0000 2013
14,1001,40.75089,-73.98025,Jan 17 22:21:00 +0000 2013
15,1176,40.86826,-73.88704,Jan 17 13:35:56 +0000 2013
16,1797,40.75383,-73.98753,Jan 17 21:01:24 +0000 2013
17,2168,40.69999,-74.00592,Jan 17 20:15:48 +0000 2013
18,1001,40.8162,-73.95018,Jan 17 12:55:18 +0000 2013
19,1414,40.67453,-73.91341,Jan 17 23:02:46 +0000 2013
20,1086,40.84646,-74.20363,Jan 17 05:25:27 +0000 2013
21,2201,40.90182,-74.15687,Jan 17 10:30:26 +0000 2013
22,2534,40.73847,-74.03152,Jan 17 14:46:14 +0000 2013
23,987,40.85354,-73.90255,Jan 17 15:27:52 +0000 2013
24,2154,40.7541,-73.99636,Jan 17 12:47:22 +0000 2013
25,2469,40.69523,-73.99655,Jan 17 13:17:43 +0000 2013
26,931,40.75145,-73.97626,Jan 17 00:20:09 +0000 2013
27,2273,40.77364,-73.95822,Jan 17 03:53:10 +0000 2013
28,2089,40.84399,-73.89527,Jan 17 22:00:22 +0000 2013
29,1487,40.73493,-74.00187,Jan 17 18:20:56 +0000 2013
30,1760,40.70997,-74.0524,Jan 17 00:45:14 +0000 2013
31,1150,40.75017,-73.97515,Jan 17 19:00:26 +0000 2013
32,1880,40.85209,-73.95136,Jan 17 19:10:40 +0000 2013
33,1469,40.75585,-74.00958,Jan 17 18:00:22 +0000 2013
34,1202,40.81417,-73.93354,Jan 17 15:23:57 +0000 2013
35,928,40.74253,-73.99098,Jan 17 14:24:56 +0000 2013
36,2058,40.73563,-73.75004,Jan 17 15:01:23 +0000 2013
37,1744,40.72624,-74.00858,Jan 17 23:57:56 +0000 2013
38,1014,40.85091,-74.07794,Jan 17 00:49:09 +0000 2013
39,1032,40.74766,-73.97877,Jan 17 14:59:01 +0000 2013
40,611,40.65774,-73.97864,Jan 17 23:45:22 +0000 2013
