poi_id,eff_time,lat,lon,times
1,1994,40.95561,-74.17736,Jan 17 13:47:58 +0000 2013
2,2490,40.60594,-73.84625,Jan 17 05:17:18 +0000 2013
3,1185,40.76676,-73.9489,Jan 17 17:50:28 +0000 2013
4,2545,40.7707,-73.9176,Jan 17 13:42:20 +0000 2013
5,2386,40.69799,-74.06308,Jan 17 18:40:05 +0000 2013
6,690,40.66943,-73.87513,Jan 17 16:24:35 +0000 2013
7,923,40.84384,-74.02265,Jan 17 23:30:38 +0000 2013
8,717,40.71633,-74.00384,Jan 17 21:25:03 +0000 2013
9,1913,40.87214,-73.79705,Jan 17 18:14:55 +0000 2013
10,2424,40.77628,-74.00628,Jan 17 17:46:49 +0000 2013
11,2273,40.85308,-73.98881,Jan 17 17:00:15 +0000 2013
12,1074,40.66454,-73.90073,Jan 17 14:40:30 +0000 2013
13,2413,40.57149,-73.81295,Jan 17 19:03:35 +0000 2013
14,1001,40.67367,-74.02328,Jan 17 22:21:00 +0000 2013
15,1176,40.93292,-73.86112,Jan 17 13:35:56 +0000 2013
16,1797,40.73651,-73.87237,Jan 17 21:01:24 +0000 2013
17,2168,40.62665,-74.00102,Jan 17 20:15:48 +0000 2013
18,1001,40.78143,-73.94881,Jan 17 12:55:18 +0000 2013
19,1414,40.69156,-73.9644,Jan 17 23:02:46 +0000 2013
20,1086,40.87326,-74.1822,Jan 17 05:25:27 +0000 2013
21,2201,40.84291,-74.19716,Jan 17 10:30:26 +0000 2013
22,2534,40.79501,-73.93152,Jan 17 14:46:14 +0000 2013
23,987,40.81237,-73.88506,Jan 17 15:27:52 +0000 2013
24,2154,40.83875,-73.95223,Jan 17 12:47:22 +0000 2013
25,2469,40.6754,-73.87485,Jan 17 13:17:43 +0000 2013
26,931,40.73762,-74.00261,Jan 17 00:20:09 +0000 2013
27,2273,40.76355,-73.93969,Jan 17 03:53:10 +0000 2013
28,2089,40.84524,-73.80734,Jan 17 22:00:22 +0000 2013
29,1487,40.74725,-74.07194,Jan 17 18:20:56 +0000 2013
30,1760,40.72032,-74.04248,Jan 17 00:45:14 +0000 2013
31,1150,40.8117,-74.0095,Jan 17 19:00:26 +0000 2013
32,1880,40.78277,-73.9298,Jan 17 19:10:40 +0000 2013
33,1469,40.78417,-73.97378,Jan 17 18:00:22 +0000 2013
34,1202,40.78548,-73.90183,Jan 17 15:23:57 +0000 2013
35,928,40.72786,-74.03706,Jan 17 14:24:56 +0000 2013
36,2058,40.73325,-73.75858,Jan 17 15:01:23 +0000 2013
37,1744,40.72691,-73.93667,Jan 17 23:57:56 +0000 2013
38,1014,40.80415,-74.09287,Jan 17 00:49:09 +0000 2013
39,1032,40.70358,-73.96471,Jan 17 14:59:01 +0000 2013
40,611,40.67937,-73.97881,Jan 17 23:45:22 +0000 2013
