poi_id,eff_time,lat,lon,times
1,1994,40.89721,-74.154,Jan 17 13:47:58 +0000 2013
2,2490,40.64806,-74.0174,Jan 17 05:17:18 +0000 2013
3,1185,40.74126,-73.97628,Jan 17 17:50:28 +0000 2013
4,2545,40.76031,-74.02117,Jan 17 13:42:20 +0000 2013
5,2386,40.67254,-74.1117,Jan 17 18:40:05 +0000 2013
6,690,40.76938,-74.01597,Jan 17 16:24:35 +0000 2013
7,923,40.72368,-73.97478,Jan 17 23:30:38 +0000 2013
8,717,40.78593,-74.02428,Jan 17 21:25:03 +0000 2013
9,1913,40.84362,-73.78535,Jan 17 18:14:55 +0000 2013
10,2424,40.75663,-74.00988,Jan 17 17:46:49 +0000 2013
11,2273,40.785,-73.95347,Jan 17 17:00:15 +0000 2013
12,1074,40.73498,-74.09685,Jan 17 14:40:30 +0000 2013
13,2413,40.6403,-73.75012,Jan 17 19:03:35 +0000 2013
14,1001,40.74812,-73.99653,Jan 17 22:21:00 +0000 2013
15,1176,40.87662,-73.87749,Jan 17 13:35:56 +0000 2013
16,1797,40.74735,-73.96963,Jan 17 21:01:24 +0000 2013
17,2168,40.70251,-73.98771,Jan 17 20:15:48 +0000 2013
18,1001,40.81827,-73.93274,Jan 17 12:55:18 +0000 2013
19,1414,40.67679,-73.91495,Jan 17 23:02:46 +0000 2013
20,1086,40.85492,-74.16262,Jan 17 05:25:27 +0000 2013
21,2201,40.90613,-74.12818,Jan 17 10:30:26 +0000 2013
22,2534,40.74457,-73.96411,Jan 17 14:46:14 +0000 2013
23,987,40.85997,-73.90823,Jan 17 15:27:52 +0000 2013
24,2154,40.73813,-73.97655,Jan 17 12:47:22 +0000 2013
25,2469,40.7055,-74.02047,Jan 17 13:17:43 +0000 2013
26,931,40.70902,-74.03698,Jan 17 00:20:09 +0000 2013
27,2273,40.78027,-73.9563,Jan 17 03:53:10 +0000 2013
28,2089,40.85854,-73.90155,Jan 17 22:00:22 +0000 2013
29,1487,40.73456,-74.00091,Jan 17 18:20:56 +0000 2013
30,1760,40.7216,-74.03311,Jan 17 00:45:14 +0000 2013
31,1150,40.72252,-73.98175,Jan 17 19:00:26 +0000 2013
32,1880,40.85044,-73.89701,Jan 17 19:10:40 +0000 2013
33,1469,40.75649,-73.99909,Jan 17 18:00:22 +0000 2013
34,1202,40.81012,-73.93329,Jan 17 15:23:57 +0000 2013
35,928,40.74406,-74.00858,Jan 17 14:24:56 +0000 2013
36,2058,40.73007,-73.7633,Jan 17 15:01:23 +0000 2013
37,1744,40.70598,-73.99008,Jan 17 23:57:56 +0000 2013
38,1014,40.8408,-74.04579,Jan 17 00:49:09 +0000 2013
39,1032,40.76038,-73.99107,Jan 17 14:59:01 +0000 2013
40,611,40.69378,-73.99302,Jan 17 23:45:22 +0000 2013
