poi_id,eff_time,lat,lon,times
1,2300,35.666166312064526,139.7552927861659,Jan 26 04:04:49 +0000 2013
2,1077,35.65399001547144,139.6637959652277,Jan 26 09:27:39 +0000 2013
3,1521,35.691322,139.702979,Jan 26 10:58:33 +0000 2013
4,2250,35.548778507756225,139.7839879989624,Jan 26 10:11:40 +0000 2013
5,2642,35.69737897967911,139.74528693347943,Jan 26 04:46:06 +0000 2013
6,616,35.681518158082845,139.7661030292511,Jan 26 03:27:42 +0000 2013
7,1963,35.68614118845433,139.7301560640335,Jan 26 08:03:52 +0000 2013
8,1676,35.666692051408944,139.7581327376774,Jan 26 07:13:47 +0000 2013
9,981,35.68971012844621,139.69690807163715,Jan 26 02:03:43 +0000 2013
10,2587,35.834793,139.658267,Jan 26 08:11:45 +0000 2013
11,1440,35.705958402482324,139.66591883051748,Jan 26 06:28:31 +0000 2013
12,2625,35.58083040013625,139.64203850733955,Jan 26 05:34:08 +0000 2013
13,2615,35.702791,139.770755,Jan 26 06:20:23 +0000 2013
14,1135,35.69982798063144,139.77235902664074,Jan 26 09:55:13 +0000 2013
15,1983,35.69167888630371,139.70466434955597,Jan 26 08:43:33 +0000 2013
16,1371,35.68971829766635,139.69925165176392,Jan 26 07:25:29 +0000 2013
17,2243,35.80191699809086,139.71758723258972,Jan 26 07:11:01 +0000 2013
18,1792,35.713489554075586,139.77591365452724,Jan 26 11:17:53 +0000 2013
19,1979,35.69807878353967,139.76599842309952,Jan 26 12:47:36 +0000 2013
20,728,35.646686498258696,139.6694228053093,Jan 26 11:39:41 +0000 2013
21,1871,35.667203,139.641462,Jan 26 11:40:47 +0000 2013
22,1435,35.7686094490449,139.7302389142378,Jan 26 07:27:01 +0000 2013
23,1093,35.62670146175288,139.63337163931777,Jan 26 08:58:51 +0000 2013
24,842,35.69854452748974,139.77159141006314,Jan 26 09:19:15 +0000 2013
25,1563,35.6491396377691,139.6993750333786,Jan 26 07:20:49 +0000 2013
26,793,35.75460558655398,139.7709310054779,Jan 26 08:25:13 +0000 2013
27,707,35.54414316610811,139.57237243652344,Jan 26 06:28:46 +0000 2013
28,1065,35.54990456724946,139.71519470214844,Jan 26 14:23:51 +0000 2013
29,2302,35.6657865198251,139.73096072673798,Jan 26 07:42:35 +0000 2013
30,2312,35.660473668016515,139.72926020622253,Jan 26 05:03:56 +0000 2013
31,1950,35.720210886727784,139.76069033145905,Jan 26 07:13:44 +0000 2013
32,991,35.6951119787671,139.8134869337082,Jan 26 00:52:40 +0000 2013
33,1121,35.705391824926686,139.63474131815178,Jan 26 09:47:41 +0000 2013
34,938,35.69055482137934,139.70592498779297,Jan 26 06:43:11 +0000 2013
35,1040,35.53138368117034,139.70021724700928,Jan 26 03:48:55 +0000 2013
36,684,35.56771428060273,139.6925863623619,Jan 26 04:23:21 +0000 2013
37,2242,35.85490921534228,139.77677285671234,Jan 26 01:53:03 +0000 2013
38,2531,35.6955607096278,139.77587163448334,Jan 26 12:15:24 +0000 2013
39,1780,35.69021154329276,139.70014436452058,Jan 26 00:13:40 +0000 2013
40,1225,35.69080269423021,139.70027922656513,Jan 26 01:21:00 +0000 2013
