poi_id,eff_time,lat,lon,times
1,2332,40.75704,-73.95966,Jan 17 18:23:10 +0000 2013
2,2503,40.71342,-74.06413,Jan 17 00:25:03 +0000 2013
3,891,40.84112,-73.93214,Jan 17 18:21:55 +0000 2013
4,1886,40.91093,-74.06926,Jan 17 11:58:19 +0000 2013
5,2374,40.88145,-74.04606,Jan 17 03:22:15 +0000 2013
6,1081,40.7138,-74.20111,Jan 17 01:00:09 +0000 2013
7,2693,40.75505,-74.09704,Jan 17 00:57:10 +0000 2013
8,1148,40.6677,-73.87325,Jan 17 16:01:05 +0000 2013
9,1512,40.74342,-73.84492,Jan 17 14:10:53 +0000 2013
10,1318,40.68949,-74.01978,Jan 17 18:58:34 +0000 2013
11,1729,40.79359,-73.99289,Jan 17 22:38:08 +0000 2013
12,1296,40.73907,-73.9989,Jan 17 00:39:02 +0000 2013
13,1117,40.73711,-73.9681,Jan 17 04:13:45 +0000 2013
14,653,40.75927,-73.91031,Jan 17 15:14:02 +0000 2013
15,2003,40.76372,-73.89877,Jan 17 05:59:05 +0000 2013
16,2643,40.69732,-73.86655,Jan 17 13:51:35 +0000 2013
17,875,40.9055,-74.01167,Jan 17 13:36:27 +0000 2013
18,1664,40.89602,-73.85292,Jan 17 23:46:21 +0000 2013
19,1435,40.6295,-73.85615,Jan 17 02:05:57 +0000 2013
20,2494,40.71011,-74.03078,Jan 17 00:57:16 +0000 2013
