poi_id,eff_time,lat,lon,times
1,2332,40.74227,-73.98855,Jan 17 18:23:10 +0000 2013
2,2503,40.73776,-73.98822,Jan 17 00:25:03 +0000 2013
3,891,40.78072,-73.91353,Jan 17 18:21:55 +0000 2013
4,1886,40.96149,-74.09654,Jan 17 11:58:19 +0000 2013
5,2374,40.87147,-74.09828,Jan 17 03:22:15 +0000 2013
6,1081,40.72615,-73.9521,Jan 17 01:00:09 +0000 2013
7,2693,40.73003,-73.97649,Jan 17 00:57:10 +0000 2013
8,1148,40.68819,-73.90921,Jan 17 16:01:05 +0000 2013
9,1512,40.723,-74.00453,Jan 17 14:10:53 +0000 2013
10,1318,40.73002,-74.07655,Jan 17 18:58:34 +0000 2013
11,1729,40.74796,-73.9768,Jan 17 22:38:08 +0000 2013
12,1296,40.74573,-74.03442,Jan 17 00:39:02 +0000 2013
13,1117,40.70615,-74.01785,Jan 17 04:13:45 +0000 2013
14,653,40.73997,-73.98485,Jan 17 15:14:02 +0000 2013
15,2003,40.77161,-73.92857,Jan 17 05:59:05 +0000 2013
16,2643,40.64539,-73.82628,Jan 17 13:51:35 +0000 2013
17,875,40.88602,-73.88002,Jan 17 13:36:27 +0000 2013
18,1664,40.91447,-73.90131,Jan 17 23:46:21 +0000 2013
19,1435,40.66109,-73.88725,Jan 17 02:05:57 +0000 2013
20,2494,40.77662,-74.00815,Jan 17 00:57:16 +0000 2013
