poi_id,eff_time,lat,lon,times
1,2332,40.74159,-73.98608,Jan 17 18:23:10 +0000 2013
2,2503,40.74182,-73.99392,Jan 17 00:25:03 +0000 2013
3,891,40.7835,-73.92212,Jan 17 18:21:55 +0000 2013
4,1886,40.95312,-74.07431,Jan 17 11:58:19 +0000 2013
5,2374,40.87809,-74.08766,Jan 17 03:22:15 +0000 2013
6,1081,40.73252,-74.01362,Jan 17 01:00:09 +0000 2013
7,2693,40.73007,-73.9934,Jan 17 00:57:10 +0000 2013
8,1148,40.68759,-73.8957,Jan 17 16:01:05 +0000 2013
9,1512,40.72866,-74.0004,Jan 17 14:10:53 +0000 2013
10,1318,40.72348,-74.06057,Jan 17 18:58:34 +0000 2013
11,1729,40.76016,-73.99746,Jan 17 22:38:08 +0000 2013
12,1296,40.74065,-74.01903,Jan 17 00:39:02 +0000 2013
13,1117,40.69587,-74.02577,Jan 17 04:13:45 +0000 2013
14,653,40.74728,-73.9964,Jan 17 15:14:02 +0000 2013
15,2003,40.74501,-73.92915,Jan 17 05:59:05 +0000 2013
16,2643,40.6557,-73.83831,Jan 17 13:51:35 +0000 2013
17,875,40.87842,-73.88496,Jan 17 13:36:27 +0000 2013
18,1664,40.91535,-73.90213,Jan 17 23:46:21 +0000 2013
19,1435,40.64793,-73.88763,Jan 17 02:05:57 +0000 2013
20,2494,40.76943,-74.0044,Jan 17 00:57:16 +0000 2013
