poi_id,eff_time,lat,lon,times
1,2332,40.76084,-73.97397,Jan 17 18:23:10 +0000 2013
2,2503,40.72375,-73.99415,Jan 17 00:25:03 +0000 2013
3,891,40.7621,-73.93748,Jan 17 18:21:55 +0000 2013
4,1886,40.96148,-74.01522,Jan 17 11:58:19 +0000 2013
5,2374,40.85678,-74.13772,Jan 17 03:22:15 +0000 2013
6,1081,40.71694,-74.00943,Jan 17 01:00:09 +0000 2013
7,2693,40.70151,-73.96125,Jan 17 00:57:10 +0000 2013
8,1148,40.67589,-73.96331,Jan 17 16:01:05 +0000 2013
9,1512,40.72391,-74.00915,Jan 17 14:10:53 +0000 2013
10,1318,40.76268,-74.05953,Jan 17 18:58:34 +0000 2013
11,1729,40.77762,-73.99576,Jan 17 22:38:08 +0000 2013
12,1296,40.76055,-74.10116,Jan 17 00:39:02 +0000 2013
13,1117,40.6987,-74.08131,Jan 17 04:13:45 +0000 2013
14,653,40.72875,-73.99107,Jan 17 15:14:02 +0000 2013
15,2003,40.73381,-73.99639,Jan 17 05:59:05 +0000 2013
16,2643,40.63368,-73.86621,Jan 17 13:51:35 +0000 2013
17,875,40.92735,-73.85279,Jan 17 13:36:27 +0000 2013
18,1664,40.93877,-73.85636,Jan 17 23:46:21 +0000 2013
19,1435,40.67721,-73.92407,Jan 17 02:05:57 +0000 2013
20,2494,40.77611,-74.04389,Jan 17 00:57:16 +0000 2013
