poi_id,eff_time,lat,lon,times
1,2332,40.74851,-73.98972,Jan 17 18:23:10 +0000 2013
2,2503,40.73462,-73.99157,Jan 17 00:25:03 +0000 2013
3,891,40.77592,-73.93775,Jan 17 18:21:55 +0000 2013
4,1886,40.96034,-74.0507,Jan 17 11:58:19 +0000 2013
5,2374,40.87465,-74.09241,Jan 17 03:22:15 +0000 2013
6,1081,40.73041,-74.00769,Jan 17 01:00:09 +0000 2013
7,2693,40.72206,-73.99506,Jan 17 00:57:10 +0000 2013
8,1148,40.68863,-73.91042,Jan 17 16:01:05 +0000 2013
9,1512,40.7161,-73.98105,Jan 17 14:10:53 +0000 2013
10,1318,40.73023,-74.07103,Jan 17 18:58:34 +0000 2013
11,1729,40.73198,-73.97451,Jan 17 22:38:08 +0000 2013
12,1296,40.72261,-74.04683,Jan 17 00:39:02 +0000 2013
13,1117,40.71032,-74.02141,Jan 17 04:13:45 +0000 2013
14,653,40.73738,-73.99144,Jan 17 15:14:02 +0000 2013
15,2003,40.77231,-73.93038,Jan 17 05:59:05 +0000 2013
16,2643,40.68192,-73.85879,Jan 17 13:51:35 +0000 2013
17,875,40.87762,-73.88119,Jan 17 13:36:27 +0000 2013
18,1664,40.91211,-73.89839,Jan 17 23:46:21 +0000 2013
19,1435,40.65626,-73.90779,Jan 17 02:05:57 +0000 2013
20,2494,40.77158,-74.01398,Jan 17 00:57:16 +0000 2013
