poi_id,eff_time,lat,lon,times
1,2332,40.75243,-73.96768,Jan 17 18:23:10 +0000 2013
2,2503,40.7383,-73.98323,Jan 17 00:25:03 +0000 2013
3,891,40.80943,-73.89525,Jan 17 18:21:55 +0000 2013
4,1886,40.95397,-74.06334,Jan 17 11:58:19 +0000 2013
5,2374,40.88232,-74.07145,Jan 17 03:22:15 +0000 2013
6,1081,40.72208,-74.00235,Jan 17 01:00:09 +0000 2013
7,2693,40.73013,-73.98418,Jan 17 00:57:10 +0000 2013
8,1148,40.68896,-73.89141,Jan 17 16:01:05 +0000 2013
9,1512,40.72483,-73.99853,Jan 17 14:10:53 +0000 2013
10,1318,40.72863,-74.05577,Jan 17 18:58:34 +0000 2013
11,1729,40.75317,-73.9855,Jan 17 22:38:08 +0000 2013
12,1296,40.727,-74.03095,Jan 17 00:39:02 +0000 2013
13,1117,40.71395,-73.98333,Jan 17 04:13:45 +0000 2013
14,653,40.74424,-73.99293,Jan 17 15:14:02 +0000 2013
15,2003,40.76377,-73.92293,Jan 17 05:59:05 +0000 2013
16,2643,40.6561,-73.85355,Jan 17 13:51:35 +0000 2013
17,875,40.88333,-73.87695,Jan 17 13:36:27 +0000 2013
18,1664,40.8828,-73.91308,Jan 17 23:46:21 +0000 2013
19,1435,40.67911,-73.89282,Jan 17 02:05:57 +0000 2013
20,2494,40.78135,-73.99455,Jan 17 00:57:16 +0000 2013
