poi_id,eff_time,lat,lon,times
1,2642,40.9022,-73.91838,Jan 17 23:27:22 +0000 2013
2,2273,40.87236,-73.89535,Jan 17 17:00:15 +0000 2013
3,1049,40.69772,-73.90349,Jan 17 23:47:02 +0000 2013
4,797,40.79816,-73.98194,Jan 17 04:29:40 +0000 2013
5,1337,40.76624,-73.99841,Jan 17 13:41:45 +0000 2013
6,1032,40.8061,-73.97607,Jan 17 14:59:01 +0000 2013
7,959,40.61246,-73.76964,Jan 17 15:21:02 +0000 2013
8,794,40.75114,-73.99679,Jan 17 15:48:26 +0000 2013
9,934,40.80849,-74.05504,Jan 17 12:53:20 +0000 2013
10,2164,40.68206,-73.96421,Jan 17 01:59:10 +0000 2013
11,1726,40.72084,-73.84252,Jan 17 13:51:47 +0000 2013
12,2422,40.53728,-73.96891,Jan 17 02:12:07 +0000 2013
13,1628,40.60076,-74.07489,Jan 17 14:33:18 +0000 2013
14,2655,40.89336,-74.12173,Jan 17 21:57:22 +0000 2013
15,1057,40.86293,-73.76909,Jan 17 22:27:50 +0000 2013
16,702,40.72263,-74.0173,Jan 17 15:11:57 +0000 2013
17,1612,40.95172,-73.89677,Jan 17 23:35:15 +0000 2013
18,611,40.80866,-73.93989,Jan 17 23:45:22 +0000 2013
19,1078,40.76067,-73.62816,Jan 17 01:30:21 +0000 2013
20,1291,40.65388,-73.78088,Jan 17 00:44:45 +0000 2013
21,2152,40.7463,-73.92058,Jan 17 20:12:39 +0000 2013
22,1515,40.74134,-74.01342,Jan 17 20:24:59 +0000 2013
23,1176,40.89782,-73.88023,Jan 17 13:35:56 +0000 2013
24,609,40.75934,-73.97756,Jan 17 17:40:40 +0000 2013
25,1324,40.73679,-73.87451,Jan 17 16:38:56 +0000 2013
26,2469,40.68723,-74.02933,Jan 17 13:17:43 +0000 2013
27,1112,40.71075,-73.93708,Jan 17 22:48:45 +0000 2013
28,1199,40.75774,-73.93549,Jan 17 20:39:41 +0000 2013
29,1797,40.75869,-74.03663,Jan 17 21:01:24 +0000 2013
30,1884,40.75894,-73.97472,Jan 17 23:46:32 +0000 2013
