poi_id,eff_time,lat,lon,times
1,2642,40.88355,-73.87358,Jan 17 23:27:22 +0000 2013
2,2273,40.7921,-73.93531,Jan 17 17:00:15 +0000 2013
3,1049,40.6677,-73.98479,Jan 17 23:47:02 +0000 2013
4,797,40.82577,-73.93177,Jan 17 04:29:40 +0000 2013
5,1337,40.75281,-73.98751,Jan 17 13:41:45 +0000 2013
6,1032,40.75729,-73.95023,Jan 17 14:59:01 +0000 2013
7,959,40.67449,-73.82622,Jan 17 15:21:02 +0000 2013
8,794,40.76256,-73.97953,Jan 17 15:48:26 +0000 2013
9,934,40.72182,-74.06127,Jan 17 12:53:20 +0000 2013
10,2164,40.73549,-73.98623,Jan 17 01:59:10 +0000 2013
11,1726,40.74277,-73.88202,Jan 17 13:51:47 +0000 2013
12,2422,40.73072,-74.00096,Jan 17 02:12:07 +0000 2013
13,1628,40.57109,-74.09246,Jan 17 14:33:18 +0000 2013
14,2655,40.95147,-74.06481,Jan 17 21:57:22 +0000 2013
15,1057,40.8968,-73.85427,Jan 17 22:27:50 +0000 2013
16,702,40.72189,-73.98697,Jan 17 15:11:57 +0000 2013
17,1612,40.80472,-73.92776,Jan 17 23:35:15 +0000 2013
18,611,40.66988,-73.96664,Jan 17 23:45:22 +0000 2013
19,1078,40.80228,-73.70953,Jan 17 01:30:21 +0000 2013
20,1291,40.6332,-73.7939,Jan 17 00:44:45 +0000 2013
21,2152,40.75386,-73.9642,Jan 17 20:12:39 +0000 2013
22,1515,40.76721,-73.98355,Jan 17 20:24:59 +0000 2013
23,1176,40.88048,-73.87037,Jan 17 13:35:56 +0000 2013
24,609,40.8014,-73.95856,Jan 17 17:40:40 +0000 2013
25,1324,40.74516,-73.98041,Jan 17 16:38:56 +0000 2013
26,2469,40.71611,-74.01034,Jan 17 13:17:43 +0000 2013
27,1112,40.76057,-73.95295,Jan 17 22:48:45 +0000 2013
28,1199,40.80117,-73.91812,Jan 17 20:39:41 +0000 2013
29,1797,40.74432,-73.9917,Jan 17 21:01:24 +0000 2013
30,1884,40.78124,-73.94953,Jan 17 23:46:32 +0000 2013
