poi_id,eff_time,lat,lon,times
1,2642,40.88583,-73.87609,Jan 17 23:27:22 +0000 2013
2,2273,40.79866,-73.94028,Jan 17 17:00:15 +0000 2013
3,1049,40.6758,-73.9793,Jan 17 23:47:02 +0000 2013
4,797,40.81951,-73.94205,Jan 17 04:29:40 +0000 2013
5,1337,40.76826,-73.99868,Jan 17 13:41:45 +0000 2013
6,1032,40.74835,-73.98477,Jan 17 14:59:01 +0000 2013
7,959,40.67944,-73.83565,Jan 17 15:21:02 +0000 2013
8,794,40.73012,-73.98256,Jan 17 15:48:26 +0000 2013
9,934,40.73573,-74.05952,Jan 17 12:53:20 +0000 2013
10,2164,40.72311,-73.98029,Jan 17 01:59:10 +0000 2013
11,1726,40.74869,-73.8959,Jan 17 13:51:47 +0000 2013
12,2422,40.73532,-73.99944,Jan 17 02:12:07 +0000 2013
13,1628,40.5872,-74.08088,Jan 17 14:33:18 +0000 2013
14,2655,40.9703,-74.06049,Jan 17 21:57:22 +0000 2013
15,1057,40.90216,-73.89461,Jan 17 22:27:50 +0000 2013
16,702,40.72037,-74.00716,Jan 17 15:11:57 +0000 2013
17,1612,40.81061,-73.92773,Jan 17 23:35:15 +0000 2013
18,611,40.69095,-73.96559,Jan 17 23:45:22 +0000 2013
19,1078,40.80345,-73.69873,Jan 17 01:30:21 +0000 2013
20,1291,40.64837,-73.78192,Jan 17 00:44:45 +0000 2013
21,2152,40.74697,-73.97466,Jan 17 20:12:39 +0000 2013
22,1515,40.76765,-73.96252,Jan 17 20:24:59 +0000 2013
23,1176,40.87338,-73.88012,Jan 17 13:35:56 +0000 2013
24,609,40.81614,-73.96135,Jan 17 17:40:40 +0000 2013
25,1324,40.76188,-73.98375,Jan 17 16:38:56 +0000 2013
26,2469,40.70951,-74.00617,Jan 17 13:17:43 +0000 2013
27,1112,40.76306,-73.9792,Jan 17 22:48:45 +0000 2013
28,1199,40.82472,-73.91646,Jan 17 20:39:41 +0000 2013
29,1797,40.73383,-74.00889,Jan 17 21:01:24 +0000 2013
30,1884,40.76416,-73.95089,Jan 17 23:46:32 +0000 2013
