poi_id,eff_time,lat,lon,times
1,2642,40.87589,-73.89058,Jan 17 23:27:22 +0000 2013
2,2273,40.78945,-73.95923,Jan 17 17:00:15 +0000 2013
3,1049,40.67869,-73.97416,Jan 17 23:47:02 +0000 2013
4,797,40.82097,-73.95879,Jan 17 04:29:40 +0000 2013
5,1337,40.74579,-73.93784,Jan 17 13:41:45 +0000 2013
6,1032,40.72801,-73.95862,Jan 17 14:59:01 +0000 2013
7,959,40.67713,-73.91584,Jan 17 15:21:02 +0000 2013
8,794,40.78231,-73.95794,Jan 17 15:48:26 +0000 2013
9,934,40.72782,-74.0389,Jan 17 12:53:20 +0000 2013
10,2164,40.72944,-73.96889,Jan 17 01:59:10 +0000 2013
11,1726,40.76955,-73.8574,Jan 17 13:51:47 +0000 2013
12,2422,40.74216,-73.9562,Jan 17 02:12:07 +0000 2013
13,1628,40.60417,-74.06897,Jan 17 14:33:18 +0000 2013
14,2655,40.99072,-74.07409,Jan 17 21:57:22 +0000 2013
15,1057,40.90962,-73.89162,Jan 17 22:27:50 +0000 2013
16,702,40.73115,-74.00071,Jan 17 15:11:57 +0000 2013
17,1612,40.81332,-74.00743,Jan 17 23:35:15 +0000 2013
18,611,40.68228,-73.98841,Jan 17 23:45:22 +0000 2013
19,1078,40.78382,-73.68414,Jan 17 01:30:21 +0000 2013
20,1291,40.64675,-73.76349,Jan 17 00:44:45 +0000 2013
21,2152,40.76479,-73.95914,Jan 17 20:12:39 +0000 2013
22,1515,40.75788,-73.97285,Jan 17 20:24:59 +0000 2013
23,1176,40.90263,-73.93925,Jan 17 13:35:56 +0000 2013
24,609,40.85258,-73.9016,Jan 17 17:40:40 +0000 2013
25,1324,40.76358,-73.98402,Jan 17 16:38:56 +0000 2013
26,2469,40.70723,-74.03218,Jan 17 13:17:43 +0000 2013
27,1112,40.78996,-73.99411,Jan 17 22:48:45 +0000 2013
28,1199,40.79985,-73.91835,Jan 17 20:39:41 +0000 2013
29,1797,40.7601,-73.94087,Jan 17 21:01:24 +0000 2013
30,1884,40.7793,-73.93438,Jan 17 23:46:32 +0000 2013
