poi_id,eff_time,lat,lon,times
1.0,2416.0,30.23991,-97.78231,21093.0
2.0,1591.0,37.78767,-122.47357,35240.0
3.0,1700.0,33.78454,-118.01863,188568.0
4.0,2370.0,-27.48183,153.01949,57028.0
5.0,2311.0,18.36834,-66.06492,723347.0
6.0,917.0,36.98069,-122.02758,50989.0
7.0,2347.0,47.62241,-122.3567,172606.0
8.0,1058.0,41.3092,-105.59992,908125.0
9.0,2660.0,30.3038,-97.69107,447880.0
10.0,1385.0,47.61054,-122.35123,628008.0
11.0,1772.0,37.7828,-122.41031,518821.0
12.0,1150.0,32.88763,-117.2167,171597.0
13.0,2517.0,34.52146,-83.98809,1036058.0
14.0,1581.0,34.00704,-118.3554,844418.0
15.0,725.0,30.2205,-97.86564,948166.0
16.0,2601.0,47.61602,-122.34356,50866.0
17.0,1091.0,55.52886,14.15665,855048.0
18.0,811.0,37.86925,-122.27334,16223.0
19.0,988.0,3.07006,101.63599,789456.0
20.0,2448.0,50.05559,8.57872,23253.0
21.0,653.0,61.21837,-149.8922,244199.0
22.0,795.0,40.71972,-74.00787,162595.0
23.0,1404.0,3.15863,101.71269,126667.0
24.0,727.0,33.38339,-111.7472,391008.0
25.0,1353.0,34.08107,-117.87072,55822.0
26.0,1400.0,47.6302,-122.3436,50866.0
27.0,1390.0,42.33598,-71.05991,255417.0
28.0,666.0,37.77908,-122.39565,58289.0
29.0,2141.0,30.29994,-97.77372,10577.0
30.0,1418.0,33.45758,-111.99863,23524.0
31.0,1228.0,30.21501,-97.75747,162630.0
32.0,887.0,33.7174,-117.78556,569735.0
33.0,2663.0,34.1933,-118.87015,287908.0
34.0,2657.0,37.77766,-122.38863,47019.0
35.0,1115.0,47.68387,-122.21198,221131.0
36.0,1212.0,14.51285,121.01052,250454.0
37.0,2091.0,37.36732,-122.05749,24258.0
38.0,697.0,40.03941,-75.04616,1111152.0
39.0,2492.0,21.35398,-157.9571,90472.0
40.0,1492.0,30.26984,-97.73626,233389.0
41.0,1185.0,32.74733,-117.24519,1111142.0
42.0,1019.0,21.39842,-158.00859,79320.0
43.0,980.0,48.76613,-122.49826,1001459.0
44.0,959.0,30.64458,-96.29939,440657.0
45.0,1920.0,36.06936,-115.04617,195737.0
46.0,849.0,38.91481,-77.03999,1111043.0
47.0,1501.0,53.52576,-113.3493,1111179.0
48.0,2405.0,35.70433,139.73827,774310.0
49.0,2374.0,50.13502,15.03678,1106160.0
50.0,2272.0,3.01363,101.67562,48503.0
