poi_id,eff_time,lat,lon,times
1,1685,40.73195,-73.98563,Jan 17 13:35:43 +0000 2013
2,770,40.73722,-73.99656,Jan 17 01:32:09 +0000 2013
3,1325,40.78232,-73.96024,Jan 17 13:56:07 +0000 2013
4,2154,40.73123,-73.98993,Jan 17 12:47:22 +0000 2013
5,1231,40.72962,-74.01537,Jan 17 23:38:58 +0000 2013
6,1237,40.84472,-73.95263,Jan 17 01:59:56 +0000 2013
7,2436,40.70816,-73.95685,Jan 17 05:09:03 +0000 2013
8,1333,40.73917,-73.96057,Jan 17 03:51:30 +0000 2013
9,2117,40.75506,-73.973,Jan 17 00:42:02 +0000 2013
10,796,40.75308,-74.03813,Jan 17 11:50:11 +0000 2013
