poi_id,eff_time,lat,lon,times
1,1685,40.65973,-73.92695,Jan 17 13:35:43 +0000 2013
2,770,40.72499,-73.99218,Jan 17 01:32:09 +0000 2013
3,1325,40.79602,-73.94871,Jan 17 13:56:07 +0000 2013
4,2154,40.74598,-74.0302,Jan 17 12:47:22 +0000 2013
5,1231,40.74391,-73.98078,Jan 17 23:38:58 +0000 2013
6,1237,40.83296,-73.95621,Jan 17 01:59:56 +0000 2013
7,2436,40.73046,-73.95367,Jan 17 05:09:03 +0000 2013
8,1333,40.72666,-73.992,Jan 17 03:51:30 +0000 2013
9,2117,40.75858,-73.95958,Jan 17 00:42:02 +0000 2013
10,796,40.7541,-73.98202,Jan 17 11:50:11 +0000 2013
