102579	1273778285.0	1273779623.0	-27.456549984	153.0366754532	232272
4368	1273780069.0	1273781133.0	37.7638110422	-122.4332928658	893779
19234	1273779266.0	1273780576.0	35.4355111	-97.3939708	85105
39399	1273778593.0	1273780561.0	40.761331562	-73.9851715369	1042397
43709	1273777367.0	1273778941.0	25.79178154	-100.15346568	452113
42655	1273780115.0	1273782641.0	-34.9224636622	138.607635498	562792
70389	1273778479.0	1273779447.0	34.0998238333	-118.3286668667	761140
124554	1273778333.0	1273780063.0	37.3484477	-121.9483449167	43045
33610	1273779358.0	1273780600.0	47.4264446368	-122.2959323728	1096929
28261	1273777841.0	1273780443.0	58.3818001	-134.5787908667	788229
23412	1273779278.0	1273781002.0	35.7856014667	-78.64718265	356760
41314	1273778358.0	1273779915.0	35.6607659333	139.7221379667	1011164
450	1273779052.0	1273780377.0	33.613507941	-111.8644302924	157751
47244	1273778787.0	1273781340.0	18.3838272269	-66.0598737001	262157
1241	1273780461.0	1273782567.0	22.2774612586	114.1734945774	88748
24175	1273779227.0	1273780919.0	30.2671515833	-97.7360916	11358
118874	1273780613.0	1273782841.0	37.4590685333	-122.16813675	34928
85	1273780441.0	1273781586.0	48.5817466833	7.7500631	208542
107595	1273778348.0	1273779685.0	62.3857747498	17.3298168182	707578
150784	1273779207.0	1273781652.0	-6.2909854	106.78313773	1111069
66796	1273779248.0	1273780170.0	30.253516057	-97.7634072304	48858
44274	1273780539.0	1273782337.0	32.8110187587	-96.8111931612	326930
4485	1273778286.0	1273779872.0	49.2576242991	-123.1008732319	164981
4809	1273777488.0	1273778863.0	34.1506695833	-118.4470432833	827896
91361	1273777604.0	1273778949.0	33.6489676888	-117.8412758775	883766
15371	1273779475.0	1273782042.0	38.8992385158	-90.1470186667	841588
2270	1273778373.0	1273780630.0	33.5057439183	-112.0376018084	384156
51953	1273779121.0	1273779733.0	47.5957183838	-122.6287612915	1111061
59554	1273777367.0	1273778923.0	30.2820687333	-87.5128423	1111011
147921	1273779903.0	1273781091.0	35.7843944735	-78.6475127935	43414
